id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
146,AIDS and Infections,National Institute of Allergy and Infectious Diseases,Infections,HIV/AIDS and Infections,"[u'HIV and Rheumatic Disease', u'HIV and Viral Hepatitis', u'HIV/AIDS and Fungal Infections', u'HIV/AIDS and the Flu', u'HIV/AIDS Coinfection', u'Mouth Problems and HIV', u'Pneumocystis Infections: MedlinePlus Health Topic', u'Progressive Multifocal Leukoencephalopathy', u'Role of STD Detection and Treatment in HIV Prevention', u'Tuberculosis', u'Tuberculosis: The Connection between TB and HIV (the AIDS Virus)', u'Valley Fever', u'Cryptococcosis', u'Pneumocystis jiroveci pneumonia', u'Progressive multifocal leukoencephalopathy', u'Cryptosporidiosis', u'Fungal Infections', u'Genital Herpes', u'Hepatitis C', u'Herpes Simplex', u'Histoplasmosis', u'HIV/AIDS', u'HIV/AIDS Medicines', u'Living with HIV/AIDS', u'Pneumocystis Infections', u'Toxoplasmosis', u'Tuberculosis']"
147,Animal Diseases and Your Health,,Infections,Animal Diseases and Your Health,"[u'Bat Influenza (Flu)', u'Birds Kept as Pets', u'Cats', u'Dogs', u'Farm Animals', u'Horses', u'Key Facts about Tularemia', u'Lymphocytic Choriomeningitis Virus from Pet Rodents', u'Mycobacterium bovis (Bovine Tuberculosis) in Humans', u'Pets and Parasites', u'Pets and Pasteurella Infections', u'Rat Bite Fever', u'Ringworm', u'Rodent Control: Seal Up! Trap Up! Clean Up!', u'Take Caution When Bats Are Near', u'Toxocariasis (also known as Roundworm Infection) FAQs', u'Zoonotic Hookworm FAQs', u'Brucellosis', u'Creeping eruption', u'Pets and the immunocompromised person', u'Psittacosis', u'Rat-bite fever', u'Tularemia', u'Visceral larva migrans', u'Bird Flu', u'Cat Scratch Disease', u'Coronavirus Infections', u'Creutzfeldt-Jakob Disease', u'H1N1 Flu (Swine Flu)', u'Lyme Disease', u'Monkeypox Virus Infections', u'Pet Health', u'Rabies', u'Toxoplasmosis', u'West Nile Virus']"
148,Anthrax,National Institute of Allergy and Infectious Diseases,Infections,Anthrax,"[u'Cutaneous Anthrax', u'Inhalation Anthrax', u'Anthrax', u'Anthrax - blood test', u'Biodefense and Bioterrorism']"
149,Antibiotic Resistance,National Institute of Allergy and Infectious Diseases,Infections,Antibiotic Resistance,"[u'Antimicrobial Resistance', u'Carbapenem-Resistant Enterobacteriaceae (CRE) Infection', u'Vancomycin-Resistant Enterococci (VRE):Overview', u'Vancomycin-Resistant Enterococci in Healthcare Settings', u'Vancomycin resistant enterococci', u'Antibiotics', u'Bacterial Infections']"
150,Antibiotics,National Institute of Allergy and Infectious Diseases,Infections,Antibiotics,"[u'Bacitracin overdose', u'Bacitracin zinc overdose', u'Central venous catheters - ports', u'Pseudomembranous colitis', u'Sensitivity analysis', u'Antibiotic Resistance', u'Bacterial Infections', u'Medicines']"
151,Arachnoiditis,National Institute of Neurological Disorders and Stroke,Infections,Meningitis,"[u'Arachnoiditis', u'Bacterial Meningitis', u'Fungal Meningitis', u'Meningococcal Meningitis', u'Non-Infectious Meningitis', u'Parasitic Meningitis', u'Subacute and Chronic Meningitis', u'Viral Meningitis', u'Cerebral spinal fluid (CSF) collection', u'Cerebrospinal fluid culture', u'CSF analysis', u'CSF cell count', u'CSF smear', u'Meningitis', u'Meningitis - cryptococcal', u'Meningitis - gram-negative', u'Meningitis - H. influenzae', u'Meningitis - meningococcal', u'Meningitis - pneumococcal', u'Meningitis - staphylococcal', u'Meningitis - tuberculous', u'Sinus x-ray', u'Subdural effusion', u'Syphilitic aseptic meningitis', u'Waterhouse-Friderichsen syndrome', u'Encephalitis', u'Haemophilus Infections', u'Meningococcal Infections', u'Pneumococcal Infections']"
152,Athlete's Foot,National Institute of Allergy and Infectious Diseases,Infections,Athlete's Foot,"[u""Athlete's foot"", u'Skin lesion KOH exam', u'Foot Health', u'Tinea Infections']"
153,Avian Influenza,National Institute of Allergy and Infectious Diseases,Infections,Bird Flu,"[u'Avian Flu (H7N9) in China', u'Avian Influenza A (H7N9) Virus', u'Avian Influenza A Virus Infections in Humans', u'Avian Influenza in Birds', u'Human Infection with Avian Influenza A(H7N9) Virus - China', u'Avian influenza', u'Animal Diseases and Your Health', u'Flu']"
154,Babesiosis,National Institute of Allergy and Infectious Diseases,Infections,Tick Bites,"[u'Anaplasmosis', u'Babesiosis', u'Heartland Virus', u'Powassan (POW) Virus Basics', u'Q Fever', u'Rocky Mountain Spotted Fever', u'Southern Tick-Associated Rash Illness (STARI)', u'Tick Paralysis', u'Tick-Borne Encephalitis (TBE)', u'Tick-Borne Relapsing Fever', u""Travelers' Health: Rickettsial (Spotted and Typhus Fevers) and Related Infections (Anaplasmosis and Ehrlichiosis)"", u'Colorado tick fever', u'Ehrlichiosis', u'Relapsing fever', u'Rocky Mountain spotted fever', u'Serology for tularemia', u'Tick bite', u'Tick paralysis', u'Tick removal', u'Tularemia', u'Insect Bites and Stings', u'Lyme Disease']"
155,Bacteremia,National Institute of Allergy and Infectious Diseases,Infections,Sepsis,"[u'Bacteremia', u'Blood Poisoning: When to See a Doctor', u'Toxic Shock Syndrome', u'Blood culture', u'Group B streptococcal septicemia of the newborn', u'Lactic acidosis', u'Neonatal sepsis', u'Sepsis', u'Septic shock', u'Septicemia', u'Toxic shock syndrome', u'Bacterial Infections']"
156,Bacterial Infections,National Institute of Allergy and Infectious Diseases,Infections,Bacterial Infections,"[u'Anaerobic Infections', u'Brucellosis', u'Elizabethkingia', u'Glanders (Burkholderia Mallei)', u'Leptospirosis', u'Melioidosis', u'Necrotizing Fasciitis: A Rare Disease, Especially for the Healthy', u'Necrotizing Skin Infections', u'Pseudomonas aeruginosa in Healthcare Settings', u'Q Fever', u'Shigellosis', u'Trench Fever', u'Vibrio parahaemolyticus', u'Vibrio vulnificus', u'Yaws', u'Actinomycosis', u'Arterial stick', u'Bacterial vaginosis -- aftercare', u'Blood culture', u'Brucellosis', u'Complement fixation test to C. burnetii', u'Culture - duodenal tissue', u'Erysipeloid', u'Gram stain', u'Gram stain of skin lesion', u'Gram stain of tissue biopsy', u'Hot tub folliculitis', u'Lepromin skin test', u'Leptospirosis', u'Lymph node culture', u'Lymphangitis', u'Necrotizing soft tissue infection', u'Nocardia infection', u'Noma', u'Pleural fluid gram stain', u'Psittacosis', u'Pulmonary actinomycosis', u'Pulmonary nocardiosis', u'Q fever', u'Q fever - early', u'Rat-bite fever', u'Rickettsial pox', u'Serology for brucellosis', u'Serology for tularemia', u'Shigellosis', u'Stool Gram stain', u'Swimming pool granuloma', u'Tularemia', u'Typhus', u'Yaws', u'Antibiotics', u'Botulism', u'Campylobacter Infections', u'Cellulitis', u'Chlamydia Infections', u'Clostridium Difficile Infections', u'E. Coli Infections', u'Haemophilus Infections', u'Immunization', u'Infection Control', u'Lyme Disease', u'Meningococcal Infections', u'Mycobacterial Infections', u'Pneumococcal Infections', u'Salmonella Infections', u'Staphylococcal Infections', u'Streptococcal Infections', u'Tetanus', u'Tick Bites', u""Traveler's Health"", u'Tuberculosis', u'Whooping Cough']"
157,Bladder Infections,National Institute of Diabetes and Digestive and Kidney Diseases,Infections,Urinary Tract Infections,"[u'Catheter-Associated Urinary Tract Infections', u'Cystitis', u'Kidney Infection', u'Kidney Infection (Pyelonephritis)', u'Urinary Tract Infections in Adolescents and Adults (Beyond the Basics)', u'Asymptomatic bacteriuria', u'Catheter-associated UTI', u'Cystitis - acute', u'Cystoscopy', u'Frequent or urgent urination', u'Leukocyte esterase urine test', u'Perirenal abscess', u'Protein electrophoresis - urine', u'Protein urine test', u'Radionuclide cystogram', u'Retrograde cystography', u'Ureteroscopy', u'Urinary casts', u'Urinary tract infection - adults', u'Urinary tract infection - children', u'Urination - painful', u'Urine - bloody', u'Urine culture', u'Urine culture - catheterized specimen', u'Urine odor', u'Voiding cystourethrogram', u'WBC scan', u'Bladder Diseases', u'Urinalysis']"
158,Blood-Borne Pathogens,National Institute of Allergy and Infectious Diseases,Infections,Infection Control,"[u'CDC Vital Signs:  Making Health Care Safer -- Stop Infections from Lethal CRE Germs Now', u'Diseases and Organisms in Healthcare Settings', u'FAQs about Catheter-Associated Bloodstream Infections', u'FAQs about Catheter-Associated Urinary Tract Infection', u'Frequently Asked Questions about Surgical Site Infections', u'Frequently Asked Questions about Ventilator-Associated Pneumonia', u'Pseudomonas aeruginosa in Healthcare Settings', u'Types of Healthcare-Associated Infections', u'VISA/VRSA (Vancomycin-Intermediate/Resistant Staphylococcus aureus) in Healthcare Settings', u'After an exposure to sharps or body fluids', u'Bloodborne pathogens', u'Central line infections - hospitals', u'Cleaning supplies and equipment', u'Cleaning to prevent the spread of germs', u'Isolation precautions', u'Personal protective equipment', u'Preventing infections when visiting', u'Staph infections - hospital', u'Hepatitis', u'HIV/AIDS', u'MRSA']"
159,Body Lice,National Institute of Allergy and Infectious Diseases,Infections,Lice,"[u'Body Lice Frequently Asked Questions (FAQs)', u'Body lice', u'Pubic lice', u'Head Lice', u'Parasitic Diseases']"
160,Body Odor,,Infections,Germs and Hygiene,"[u'Body Hygiene', u'Clean Hands Save Lives: Emergency Situations', u'Hygiene Etiquette: Coughing and Sneezing', u'Steps of Healthy Swimming: Protection against Recreational Water Illnesses (RWIs)', u'Your Microbes and You', u'Cleaning supplies and equipment', u'Cleaning to prevent the spread of germs', u'Isolation precautions', u'Personal protective equipment', u'Common Cold', u'Flu', u'Infection Control']"
161,Bone Infections,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Infections,Bone Infections,"[u'Bone lesion biopsy', u'Bone pain or tenderness', u'Bone x-ray', u'Disseminated tuberculosis', u'Osteomyelitis', u'Osteomyelitis - discharge', u'Bone Diseases']"
162,Botulinum Toxin,National Institute of Allergy and Infectious Diseases,Infections,Botulism,"[u'Facts about Botulism', u'Botulism', u'Infant botulism', u'Biodefense and Bioterrorism', u'Botox', u'Food Safety', u'Foodborne Illness']"
163,Break-bone Fever,National Institute of Allergy and Infectious Diseases,Infections,Dengue,"[u'Dengue fever', u'Dengue hemorrhagic fever', u'Hemorrhagic Fevers', u'Insect Bites and Stings', u'Viral Infections']"
164,Bronchiolitis,National Institute of Allergy and Infectious Diseases,Infections,Respiratory Syncytial Virus Infections,"[u'Bronchiolitis', u'Nasopharyngeal culture', u'Respiratory syncytial virus (RSV)', u'RSV antibody test', u'Viral Infections']"
165,Bronchopneumonia,National Institute of Allergy and Infectious Diseases,Infections,Pneumonia,"[u'Adenoviruses', u'Bronchiolitis Obliterans with Organizing Pneumonia (BOOP)', u'Frequently Asked Questions about Ventilator-Associated Pneumonia', u'Pneumococcal Infections: MedlinePlus Health Topic', u'Pneumococcal Pneumonia', u'Pneumocystis Infections: MedlinePlus Health Topic', u'What Is Walking Pneumonia?', u'Aspiration pneumonia', u'Atypical pneumonia', u'Chest x-ray', u'CMV - pneumonia', u'Hospital-acquired pneumonia', u'Lung needle biopsy', u'Mycoplasma pneumonia', u'Parapneumonic pulmonary effusion', u'Pleural fluid culture', u'Pneumonia', u'Pneumonia - adults - discharge', u'Pneumonia - children - community acquired', u'Pneumonia - children - discharge', u'Pneumonia - weakened immune system', u'Routine sputum culture', u'Sputum direct fluorescent antibody (DFA)', u'Sputum gram stain', u'Thoracic CT', u'Viral pneumonia', u'Haemophilus Infections', u""Legionnaires' Disease"", u'Lung Diseases', u'Pneumococcal Infections', u'Pneumocystis Infections']"
166,Bubonic Plague,National Institute of Allergy and Infectious Diseases,Infections,Plague,"[u'Bubonic Plague', u'Pneumonic Plague', u'Plague', u'Biodefense and Bioterrorism']"
167,C. diff. Infections,,Infections,Clostridium Difficile Infections,"[u'Antibiotic-Associated Diarrhea', u'Information about the Current Strain of Clostridium difficile', u'Pseudomembranous colitis', u'Pseudomembranous colitis', u'Stool C. difficile toxin']"
168,Campylobacter Infections,National Institute of Allergy and Infectious Diseases,Infections,Campylobacter Infections,[]
169,Candidiasis,National Institute of Allergy and Infectious Diseases,Infections,Yeast Infections,"[u'Candida Infection of the Bloodstream - Candidemia', u'Genital/Vulvovaginal Candidiasis (VVC)', u'Invasive Candidiasis', u'Oral Thrush', u'Oropharyngeal/Esophageal Candidiasis (""Thrush"")', u'Tinea Versicolor', u'Vaginal Yeast Infections', u'Candida infection of the skin', u'Endocervical gram stain', u'Thrush', u'Vaginal yeast infection', u'Fungal Infections', u'Vaginitis']"
170,Cat Scratch Disease,,Infections,Cat Scratch Disease,[]
171,Cellulitis,National Institute of Allergy and Infectious Diseases,Infections,Cellulitis,"[u'Cellulitis', u'Erysipelas', u'What Is Cellulitis?', u'Cellulitis', u'Erysipelas', u'Fibrinopeptide A blood test', u""Ludwig's angina"", u'Orbital cellulitis', u'Periorbital cellulitis', u'Staphylococcal Infections', u'Streptococcal Infections']"
172,CFS,National Institute of Neurological Disorders and Stroke,Infections,Chronic Fatigue Syndrome,"[u'Chronic fatigue syndrome', u'Fatigue']"
173,Chagas Disease,National Institute of Allergy and Infectious Diseases,Infections,Chagas Disease,[]
174,Chickenpox,National Institute of Allergy and Infectious Diseases,Infections,Chickenpox,"[u'Chickenpox (Varicella) Complications', u'Chickenpox', u'Childhood Immunization', u'Shingles']"
175,Chikungunya,National Institute of Allergy and Infectious Diseases,Infections,Chikungunya,[]
176,Childhood Immunization,,Infections,Childhood Immunization,"[u'Immunization Schedules for Infants and Children', u'Immunization Schedules for Preteens and Teens', u'Immunizations for Preterm Babies', u'Recommended Immunizations for Children from 7 Through 18 Years Old', u""Your Baby's First Vaccines"", u'Immunizations - general overview', u'Chickenpox', u'Diphtheria', u'Flu Shot', u'Haemophilus Infections', u'Hepatitis B', u'Immunization', u'Measles', u'Mumps', u'Polio and Post-Polio Syndrome', u'Tetanus', u'Tetanus, Diphtheria, and Pertussis Vaccines', u'Whooping Cough']"
177,Chlamydia Infections,National Institute of Allergy and Infectious Diseases,Infections,Chlamydia Infections,"[u'Chlamydia', u'Chlamydia infections in women', u'Chlamydial infections - male', u'Endocervical gram stain', u'Lymphogranuloma venereum', u'Urethral discharge culture', u'Sexually Transmitted Diseases']"
178,Cholera,,Infections,Cholera,[]
179,Chronic Bronchitis,"National Heart, Lung, and Blood Institute",Infections,Chronic Bronchitis,"[u'Blood gases', u'Chest x-ray', u'How to breathe when you are short of breath', u'Oxygen safety', u'Traveling with breathing problems', u'Using oxygen at home', u'Using oxygen at home - what to ask your doctor', u'Acute Bronchitis', u'Asthma', u'COPD', u'Emphysema', u'Oxygen Therapy', u'Pulmonary Rehabilitation']"
180,Clap,National Institute of Allergy and Infectious Diseases,Infections,Gonorrhea,"[u'Antibiotic-Resistant Gonorrhea (ARG)', u'Endocervical gram stain', u'Gonococcal arthritis', u'Gonorrhea', u'Gram stain of urethral discharge', u'Rectal culture', u'Urethral discharge culture', u'Sexually Transmitted Diseases']"
181,CMV Infections,National Institute of Allergy and Infectious Diseases,Infections,Cytomegalovirus Infections,"[u'Acute cytomegalovirus (CMV) infection', u'CMV - gastroenteritis/colitis', u'CMV - pneumonia', u'CMV serology test', u'Congenital cytomegalovirus', u'Cytomegalovirus retinitis', u'Viral Infections']"
182,Coccidioidomycosis,National Institute of Allergy and Infectious Diseases,Infections,Valley Fever,"[u'Paracoccidioidomycosis', u'Chest x-ray', u'Coccidioides complement fixation', u'Coccidioides precipitin', u'Coccidioidomycosis', u'CSF coccidioides complement fixation', u'Fungal Infections', u'Molds']"
183,"Cold, Common",National Institute of Allergy and Infectious Diseases,Infections,Common Cold,"[u""Catching a Cold When It's Warm"", u'Colds and the flu - what to ask your doctor - adult', u'Colds and the flu - what to ask your doctor - child', u'Common cold', u'Common cold - how to treat at home', u'Sneezing', u'Stuffy or runny nose - adult', u'Stuffy or runny nose - children', u'Vitamin C and colds', u'Cold and Cough Medicines', u'Flu', u'Sinusitis', u'Viral Infections']"
184,Cold Sores,,Infections,Cold Sores,"[u'Herpes - oral', u'Herpetic stomatitis', u'Mouth sores', u'Herpes Simplex', u'Mouth Disorders']"
185,Communicable Diseases,National Institute of Allergy and Infectious Diseases,Infections,Infectious Diseases,"[u'Recurrent Infections May Signal Immunodeficiencies', u'Types of Neglected Tropical Diseases', u'CSF cell count', u'Latex agglutination test', u'Antibiotic Resistance', u'Antibiotics', u'Bacterial Infections', u'Fungal Infections', u'Immunization', u'Infection Control', u'Parasitic Diseases', u""Traveler's Health"", u'Viral Infections']"
186,Condylomata Acuminata,National Institute of Allergy and Infectious Diseases,Infections,Genital Warts,"[u'Anal Warts', u'Genital warts', u'HPV', u'Sexually Transmitted Diseases']"
